record_id,timestamp_utc,site_id,equipment_id,equipment_type,location,data_split,operating_state,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,active_source,mains_voltage,generator_voltage,transfer_status,breaker_status,room_temperature_c,intruder_alarm,fire_alarm,voltage_deviation_pct,temperature_change_c_per_hour,target_fault_active,target_failure_type,target_risk_level,target_maintenance_required
436,2025-01-01T05:10:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.34202,-0.939693,0.433884,-0.900969,MAINS,231.99,0,NORMAL,CLOSED,27.05,false,false,0.87,0.55,0,,NORMAL,0
443,2025-01-01T05:15:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.321439,-0.94693,0.433884,-0.900969,MAINS,231.58,0,NORMAL,CLOSED,27.29,false,false,0.69,0.89,0,,NORMAL,0
450,2025-01-01T05:20:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.300706,-0.953717,0.433884,-0.900969,MAINS,230.57,0,NORMAL,CLOSED,27,false,false,0.25,-0.05,0,,NORMAL,0
457,2025-01-01T05:25:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.279829,-0.96005,0.433884,-0.900969,MAINS,232.13,0,NORMAL,CLOSED,26.7,false,false,0.93,-0.6,0,,NORMAL,0
464,2025-01-01T05:30:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.258819,-0.965926,0.433884,-0.900969,MAINS,231.05,0,NORMAL,CLOSED,27.47,false,false,0.46,1.11,0,,NORMAL,0
471,2025-01-01T05:35:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.237686,-0.971342,0.433884,-0.900969,MAINS,233.22,0,NORMAL,CLOSED,27.12,false,false,1.4,0.17,0,,NORMAL,0
478,2025-01-01T05:40:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.21644,-0.976296,0.433884,-0.900969,MAINS,230.69,0,NORMAL,CLOSED,26.89,false,false,0.3,-0.55,0,,NORMAL,0
485,2025-01-01T05:45:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.19509,-0.980785,0.433884,-0.900969,MAINS,231.24,0,NORMAL,CLOSED,26.92,false,false,0.54,-0.21,0,,NORMAL,0
492,2025-01-01T05:50:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.173648,-0.984808,0.433884,-0.900969,MAINS,232.17,0,NORMAL,CLOSED,27.71,false,false,0.94,0.46,0,,NORMAL,0
499,2025-01-01T05:55:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.152123,-0.988362,0.433884,-0.900969,MAINS,232,0,NORMAL,CLOSED,26.55,false,false,0.87,-0.33,0,,NORMAL,0
506,2025-01-01T06:00:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.130526,-0.991445,0.433884,-0.900969,MAINS,230.93,0,NORMAL,CLOSED,26.18,false,false,0.41,-1.21,0,,NORMAL,0
513,2025-01-01T06:05:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.108867,-0.994056,0.433884,-0.900969,MAINS,230.8,0,NORMAL,CLOSED,27.42,false,false,0.35,0.46,0,,NORMAL,0
520,2025-01-01T06:10:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.087156,-0.996195,0.433884,-0.900969,MAINS,232.73,0,NORMAL,CLOSED,28.23,false,false,1.19,1.18,0,,NORMAL,0
527,2025-01-01T06:15:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.065403,-0.997859,0.433884,-0.900969,MAINS,232.56,0,NORMAL,CLOSED,27.82,false,false,1.11,0.53,0,,NORMAL,0
534,2025-01-01T06:20:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.043619,-0.999048,0.433884,-0.900969,MAINS,233.31,0,NORMAL,CLOSED,27.6,false,false,1.44,0.6,0,,NORMAL,0
541,2025-01-01T06:25:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0.021815,-0.999762,0.433884,-0.900969,MAINS,231.4,0,NORMAL,CLOSED,26.83,false,false,0.61,0.13,0,,NORMAL,0
548,2025-01-01T06:30:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,0,-1,0.433884,-0.900969,MAINS,231.89,0,NORMAL,CLOSED,27.2,false,false,0.82,-0.27,0,,NORMAL,0
555,2025-01-01T06:35:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,-0.021815,-0.999762,0.433884,-0.900969,MAINS,232.14,0,NORMAL,CLOSED,26.89,false,false,0.93,-0.23,0,,NORMAL,0
562,2025-01-01T06:40:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,-0.043619,-0.999048,0.433884,-0.900969,MAINS,231.4,0,NORMAL,CLOSED,27.01,false,false,0.61,0.12,0,,NORMAL,0
569,2025-01-01T06:45:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,-0.065403,-0.997859,0.433884,-0.900969,MAINS,231.32,0,NORMAL,CLOSED,27.03,false,false,0.57,0.11,0,,NORMAL,0
576,2025-01-01T06:50:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,-0.087156,-0.996195,0.433884,-0.900969,MAINS,230.11,0,NORMAL,CLOSED,26.65,false,false,0.05,-1.06,0,,NORMAL,0
583,2025-01-01T06:55:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,-0.108867,-0.994056,0.433884,-0.900969,MAINS,231.34,0,NORMAL,CLOSED,26.18,false,false,0.58,-0.37,0,,NORMAL,0
590,2025-01-01T07:00:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,-0.130526,-0.991445,0.433884,-0.900969,MAINS,230.61,0,NORMAL,CLOSED,26.73,false,false,0.27,0.55,0,,NORMAL,0
597,2025-01-01T07:05:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,-0.152123,-0.988362,0.433884,-0.900969,MAINS,231,0,NORMAL,CLOSED,26.74,false,false,0.44,-0.68,0,,NORMAL,0
604,2025-01-01T07:10:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,-0.173648,-0.984808,0.433884,-0.900969,MAINS,230.78,0,NORMAL,CLOSED,26.64,false,false,0.34,-1.59,0,,NORMAL,0
611,2025-01-01T07:15:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,-0.19509,-0.980785,0.433884,-0.900969,MAINS,231.54,0,NORMAL,CLOSED,26.44,false,false,0.67,-1.38,0,,NORMAL,0
618,2025-01-01T07:20:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,-0.21644,-0.976296,0.433884,-0.900969,MAINS,231.31,0,NORMAL,CLOSED,26.41,false,false,0.57,-1.19,0,,NORMAL,0
625,2025-01-01T07:25:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,-0.237686,-0.971342,0.433884,-0.900969,MAINS,230.51,0,NORMAL,CLOSED,28.33,false,false,0.22,1.5,0,,NORMAL,0
632,2025-01-01T07:30:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,-0.258819,-0.965926,0.433884,-0.900969,MAINS,230.1,0,NORMAL,CLOSED,27.11,false,false,0.04,-0.09,0,,NORMAL,0
639,2025-01-01T07:35:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,-0.279829,-0.96005,0.433884,-0.900969,MAINS,231.75,0,NORMAL,CLOSED,26.61,false,false,0.76,-0.28,0,,NORMAL,0
646,2025-01-01T07:40:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,-0.300706,-0.953717,0.433884,-0.900969,MAINS,231.25,0,NORMAL,CLOSED,26.7,false,false,0.54,-0.31,0,,NORMAL,0
653,2025-01-01T07:45:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,-0.321439,-0.94693,0.433884,-0.900969,MAINS,231.43,0,NORMAL,CLOSED,26.43,false,false,0.62,-0.6,0,,NORMAL,0
660,2025-01-01T07:50:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,-0.34202,-0.939693,0.433884,-0.900969,MAINS,230.78,0,NORMAL,CLOSED,27.6,false,false,0.34,0.95,0,,NORMAL,0
667,2025-01-01T07:55:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,-0.362438,-0.932008,0.433884,-0.900969,MAINS,230.25,0,NORMAL,CLOSED,27.17,false,false,0.11,0.99,0,,NORMAL,0
674,2025-01-01T08:00:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,-0.382683,-0.92388,0.433884,-0.900969,MAINS,231.48,0,NORMAL,CLOSED,25.99,false,false,0.64,-0.74,0,,NORMAL,0
681,2025-01-01T08:05:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,-0.402747,-0.915311,0.433884,-0.900969,MAINS,229.62,0,NORMAL,CLOSED,27.07,false,false,0.16,0.33,0,,NORMAL,0
688,2025-01-01T08:10:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,-0.422618,-0.906308,0.433884,-0.900969,MAINS,231.03,0,NORMAL,CLOSED,26.74,false,false,0.45,0.1,0,,NORMAL,0
695,2025-01-01T08:15:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,-0.442289,-0.896873,0.433884,-0.900969,MAINS,232.05,0,NORMAL,CLOSED,27.15,false,false,0.89,0.71,0,,NORMAL,0
702,2025-01-01T08:20:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,-0.461749,-0.887011,0.433884,-0.900969,MAINS,231.6,0,NORMAL,CLOSED,26.74,false,false,0.7,0.33,0,,NORMAL,0
709,2025-01-01T08:25:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,-0.480989,-0.876727,0.433884,-0.900969,MAINS,232.89,0,NORMAL,CLOSED,26,false,false,1.25,-2.33,0,,NORMAL,0
716,2025-01-01T08:30:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,-0.5,-0.866025,0.433884,-0.900969,MAINS,230.55,0,NORMAL,CLOSED,26.49,false,false,0.24,-0.62,0,,NORMAL,0
723,2025-01-01T08:35:00Z,E01-GELA,ATS-01,ATS,Main Power Room,TRAIN,MAINS_SUPPLY,-0.518773,-0.854912,0.433884,-0.900969,MAINS,232.58,0,NORMAL,CLOSED,26.89,false,false,1.12,0.28,0,,NORMAL,0
