record_id,timestamp_utc,site_id,equipment_id,equipment_type,location,data_split,operating_state,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,voltage_L1,voltage_L2,voltage_L3,current_L1,current_L2,current_L3,fuel_level_pct,frequency_hz,running_status,breaker_status,room_temperature_c,intruder_alarm,fire_alarm,phase_voltage_imbalance_v,phase_current_imbalance_pct,voltage_deviation_pct,temperature_change_c_per_hour,target_failure_within_15_min,target_failure_within_60_min,target_failure_within_6_hours,target_time_to_failure_min,target_fault_active,target_failure_type,target_risk_level,target_maintenance_required
106,2025-01-01T01:15:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.980785,-0.19509,0.433884,-0.900969,0,0,0,0,0,0,87.96,0,STANDBY,OPEN,28.31,false,false,0,0,0,0.35,0,0,0,,0,,NORMAL,0
113,2025-01-01T01:20:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.976296,-0.21644,0.433884,-0.900969,0,0,0,0,0,0,87.96,0,STANDBY,OPEN,27.78,false,false,0,0,0,0.07,0,0,0,,0,,NORMAL,0
120,2025-01-01T01:25:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.971342,-0.237686,0.433884,-0.900969,0,0,0,0,0,0,88.04,0,STANDBY,OPEN,27.79,false,false,0,0,0,-0.3,0,0,0,,0,,NORMAL,0
127,2025-01-01T01:30:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.965926,-0.258819,0.433884,-0.900969,0,0,0,0,0,0,87.96,0,STANDBY,OPEN,26.78,false,false,0,0,0,-1.92,0,0,0,,0,,NORMAL,0
134,2025-01-01T01:35:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.96005,-0.279829,0.433884,-0.900969,0,0,0,0,0,0,87.78,0,STANDBY,OPEN,28.54,false,false,0,0,0,-0.2,0,0,0,,0,,NORMAL,0
141,2025-01-01T01:40:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.953717,-0.300706,0.433884,-0.900969,0,0,0,0,0,0,87.87,0,STANDBY,OPEN,27.25,false,false,0,0,0,-0.79,0,0,0,,0,,NORMAL,0
148,2025-01-01T01:45:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.94693,-0.321439,0.433884,-0.900969,0,0,0,0,0,0,87.93,0,STANDBY,OPEN,28.1,false,false,0,0,0,0.62,0,0,0,,0,,NORMAL,0
155,2025-01-01T01:50:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.939693,-0.34202,0.433884,-0.900969,0,0,0,0,0,0,87.9,0,STANDBY,OPEN,28.83,false,false,0,0,0,1.17,0,0,0,,0,,NORMAL,0
162,2025-01-01T01:55:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.932008,-0.362438,0.433884,-0.900969,0,0,0,0,0,0,88.11,0,STANDBY,OPEN,28.04,false,false,0,0,0,0.46,0,0,0,,0,,NORMAL,0
169,2025-01-01T02:00:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.92388,-0.382683,0.433884,-0.900969,0,0,0,0,0,0,87.97,0,STANDBY,OPEN,27.42,false,false,0,0,0,0.02,0,0,0,,0,,NORMAL,0
176,2025-01-01T02:05:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.915311,-0.402747,0.433884,-0.900969,0,0,0,0,0,0,87.99,0,STANDBY,OPEN,28.29,false,false,0,0,0,-0.44,0,0,0,,0,,NORMAL,0
183,2025-01-01T02:10:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.906308,-0.422618,0.433884,-0.900969,0,0,0,0,0,0,87.89,0,STANDBY,OPEN,26.72,false,false,0,0,0,-1.46,0,0,0,,0,,NORMAL,0
190,2025-01-01T02:15:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.896873,-0.442289,0.433884,-0.900969,0,0,0,0,0,0,87.98,0,STANDBY,OPEN,29.64,false,false,0,0,0,1.33,0,0,0,,0,,NORMAL,0
197,2025-01-01T02:20:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.887011,-0.461749,0.433884,-0.900969,0,0,0,0,0,0,88.01,0,STANDBY,OPEN,28.43,false,false,0,0,0,0.65,0,0,0,,0,,NORMAL,0
204,2025-01-01T02:25:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.876727,-0.480989,0.433884,-0.900969,0,0,0,0,0,0,88,0,STANDBY,OPEN,28.79,false,false,0,0,0,1,0,0,0,,0,,NORMAL,0
211,2025-01-01T02:30:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.866025,-0.5,0.433884,-0.900969,0,0,0,0,0,0,88.02,0,STANDBY,OPEN,28.55,false,false,0,0,0,1.77,0,0,0,,0,,NORMAL,0
218,2025-01-01T02:35:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.854912,-0.518773,0.433884,-0.900969,0,0,0,0,0,0,88.04,0,STANDBY,OPEN,28.7,false,false,0,0,0,0.16,0,0,0,,0,,NORMAL,0
225,2025-01-01T02:40:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.843391,-0.5373,0.433884,-0.900969,0,0,0,0,0,0,87.97,0,STANDBY,OPEN,28.21,false,false,0,0,0,0.96,0,0,0,,0,,NORMAL,0
232,2025-01-01T02:45:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.83147,-0.55557,0.433884,-0.900969,0,0,0,0,0,0,87.93,0,STANDBY,OPEN,28.19,false,false,0,0,0,0.09,0,0,0,,0,,NORMAL,0
239,2025-01-01T02:50:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.819152,-0.573576,0.433884,-0.900969,0,0,0,0,0,0,87.94,0,STANDBY,OPEN,27.68,false,false,0,0,0,-1.15,0,0,0,,0,,NORMAL,0
246,2025-01-01T02:55:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.806445,-0.59131,0.433884,-0.900969,0,0,0,0,0,0,88.08,0,STANDBY,OPEN,27.67,false,false,0,0,0,-0.37,0,0,0,,0,,NORMAL,0
253,2025-01-01T03:00:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.793353,-0.608761,0.433884,-0.900969,0,0,0,0,0,0,88.1,0,STANDBY,OPEN,27.52,false,false,0,0,0,0.1,0,0,0,,0,,NORMAL,0
260,2025-01-01T03:05:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.779884,-0.625923,0.433884,-0.900969,0,0,0,0,0,0,87.97,0,STANDBY,OPEN,27.72,false,false,0,0,0,-0.57,0,0,0,,0,,NORMAL,0
267,2025-01-01T03:10:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.766044,-0.642788,0.433884,-0.900969,0,0,0,0,0,0,87.91,0,STANDBY,OPEN,28.73,false,false,0,0,0,2.01,0,0,0,,0,,NORMAL,0
274,2025-01-01T03:15:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.75184,-0.659346,0.433884,-0.900969,0,0,0,0,0,0,87.98,0,STANDBY,OPEN,27.43,false,false,0,0,0,-2.21,0,0,0,,0,,NORMAL,0
281,2025-01-01T03:20:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.737277,-0.67559,0.433884,-0.900969,0,0,0,0,0,0,88.11,0,STANDBY,OPEN,27.93,false,false,0,0,0,-0.5,0,0,0,,0,,NORMAL,0
288,2025-01-01T03:25:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.722364,-0.691513,0.433884,-0.900969,0,0,0,0,0,0,87.89,0,STANDBY,OPEN,27.72,false,false,0,0,0,-1.07,0,0,0,,0,,NORMAL,0
295,2025-01-01T03:30:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.707107,-0.707107,0.433884,-0.900969,0,0,0,0,0,0,88.02,0,STANDBY,OPEN,27.92,false,false,0,0,0,-0.63,0,0,0,,0,,NORMAL,0
302,2025-01-01T03:35:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.691513,-0.722364,0.433884,-0.900969,0,0,0,0,0,0,87.99,0,STANDBY,OPEN,26.88,false,false,0,0,0,-1.82,0,0,0,,0,,NORMAL,0
309,2025-01-01T03:40:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.67559,-0.737277,0.433884,-0.900969,0,0,0,0,0,0,88.02,0,STANDBY,OPEN,28.29,false,false,0,0,0,0.08,0,0,0,,0,,NORMAL,0
316,2025-01-01T03:45:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.659346,-0.75184,0.433884,-0.900969,0,0,0,0,0,0,88,0,STANDBY,OPEN,27.81,false,false,0,0,0,-0.38,0,0,0,,0,,NORMAL,0
323,2025-01-01T03:50:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.642788,-0.766044,0.433884,-0.900969,0,0,0,0,0,0,88.07,0,STANDBY,OPEN,28.36,false,false,0,0,0,0.68,0,0,0,,0,,NORMAL,0
330,2025-01-01T03:55:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.625923,-0.779884,0.433884,-0.900969,0,0,0,0,0,0,87.94,0,STANDBY,OPEN,28.09,false,false,0,0,0,0.42,0,0,0,,0,,NORMAL,0
337,2025-01-01T04:00:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.608761,-0.793353,0.433884,-0.900969,0,0,0,0,0,0,88.08,0,STANDBY,OPEN,28.33,false,false,0,0,0,0.81,0,0,0,,0,,NORMAL,0
344,2025-01-01T04:05:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.59131,-0.806445,0.433884,-0.900969,0,0,0,0,0,0,87.9,0,STANDBY,OPEN,28.39,false,false,0,0,0,0.67,0,0,0,,0,,NORMAL,0
351,2025-01-01T04:10:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.573576,-0.819152,0.433884,-0.900969,0,0,0,0,0,0,88.07,0,STANDBY,OPEN,28.16,false,false,0,0,0,-0.57,0,0,0,,0,,NORMAL,0
358,2025-01-01T04:15:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.55557,-0.83147,0.433884,-0.900969,0,0,0,0,0,0,87.98,0,STANDBY,OPEN,28.15,false,false,0,0,0,0.72,0,0,0,,0,,NORMAL,0
365,2025-01-01T04:20:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.5373,-0.843391,0.433884,-0.900969,0,0,0,0,0,0,88.09,0,STANDBY,OPEN,28.6,false,false,0,0,0,0.67,0,0,0,,0,,NORMAL,0
372,2025-01-01T04:25:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.518773,-0.854912,0.433884,-0.900969,0,0,0,0,0,0,88.01,0,STANDBY,OPEN,27.02,false,false,0,0,0,-0.7,0,0,0,,0,,NORMAL,0
379,2025-01-01T04:30:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.5,-0.866025,0.433884,-0.900969,0,0,0,0,0,0,87.92,0,STANDBY,OPEN,28.54,false,false,0,0,0,0.62,0,0,0,,0,,NORMAL,0
386,2025-01-01T04:35:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.480989,-0.876727,0.433884,-0.900969,0,0,0,0,0,0,88.05,0,STANDBY,OPEN,27.96,false,false,0,0,0,1.08,0,0,0,,0,,NORMAL,0
393,2025-01-01T04:40:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.461749,-0.887011,0.433884,-0.900969,0,0,0,0,0,0,87.84,0,STANDBY,OPEN,29.22,false,false,0,0,0,0.93,0,0,0,,0,,NORMAL,0
400,2025-01-01T04:45:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.442289,-0.896873,0.433884,-0.900969,0,0,0,0,0,0,88.1,0,STANDBY,OPEN,28.49,false,false,0,0,0,0.68,0,0,0,,0,,NORMAL,0
407,2025-01-01T04:50:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.422618,-0.906308,0.433884,-0.900969,0,0,0,0,0,0,88.09,0,STANDBY,OPEN,27.64,false,false,0,0,0,-0.72,0,0,0,,0,,NORMAL,0
414,2025-01-01T04:55:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.402747,-0.915311,0.433884,-0.900969,0,0,0,0,0,0,88.06,0,STANDBY,OPEN,28.39,false,false,0,0,0,0.3,0,0,0,,0,,NORMAL,0
421,2025-01-01T05:00:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.382683,-0.92388,0.433884,-0.900969,0,0,0,0,0,0,88.09,0,STANDBY,OPEN,27.21,false,false,0,0,0,-1.12,0,0,0,,0,,NORMAL,0
428,2025-01-01T05:05:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.362438,-0.932008,0.433884,-0.900969,0,0,0,0,0,0,87.94,0,STANDBY,OPEN,28.46,false,false,0,0,0,0.07,0,0,0,,0,,NORMAL,0
435,2025-01-01T05:10:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.34202,-0.939693,0.433884,-0.900969,0,0,0,0,0,0,87.91,0,STANDBY,OPEN,28.14,false,false,0,0,0,-0.02,0,0,0,,0,,NORMAL,0
442,2025-01-01T05:15:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.321439,-0.94693,0.433884,-0.900969,0,0,0,0,0,0,88.02,0,STANDBY,OPEN,27.57,false,false,0,0,0,-0.58,0,0,0,,0,,NORMAL,0
449,2025-01-01T05:20:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.300706,-0.953717,0.433884,-0.900969,0,0,0,0,0,0,88.07,0,STANDBY,OPEN,28.21,false,false,0,0,0,-0.39,0,0,0,,0,,NORMAL,0
456,2025-01-01T05:25:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.279829,-0.96005,0.433884,-0.900969,0,0,0,0,0,0,87.96,0,STANDBY,OPEN,27.38,false,false,0,0,0,0.36,0,0,0,,0,,NORMAL,0
463,2025-01-01T05:30:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.258819,-0.965926,0.433884,-0.900969,0,0,0,0,0,0,87.99,0,STANDBY,OPEN,27.71,false,false,0,0,0,-0.83,0,0,0,,0,,NORMAL,0
470,2025-01-01T05:35:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.237686,-0.971342,0.433884,-0.900969,0,0,0,0,0,0,88.04,0,STANDBY,OPEN,28,false,false,0,0,0,0.04,0,0,0,,0,,NORMAL,0
477,2025-01-01T05:40:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.21644,-0.976296,0.433884,-0.900969,0,0,0,0,0,0,88.13,0,STANDBY,OPEN,27.86,false,false,0,0,0,-1.36,0,0,0,,0,,NORMAL,0
484,2025-01-01T05:45:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.19509,-0.980785,0.433884,-0.900969,0,0,0,0,0,0,87.97,0,STANDBY,OPEN,28.36,false,false,0,0,0,-0.13,0,0,0,,0,,NORMAL,0
491,2025-01-01T05:50:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.173648,-0.984808,0.433884,-0.900969,0,0,0,0,0,0,88.02,0,STANDBY,OPEN,27.52,false,false,0,0,0,-0.12,0,0,0,,0,,NORMAL,0
498,2025-01-01T05:55:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.152123,-0.988362,0.433884,-0.900969,0,0,0,0,0,0,88.01,0,STANDBY,OPEN,28.18,false,false,0,0,0,-0.21,0,0,0,,0,,NORMAL,0
505,2025-01-01T06:00:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.130526,-0.991445,0.433884,-0.900969,0,0,0,0,0,0,87.96,0,STANDBY,OPEN,28.06,false,false,0,0,0,0.85,0,0,0,,0,,NORMAL,0
512,2025-01-01T06:05:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.108867,-0.994056,0.433884,-0.900969,0,0,0,0,0,0,88.04,0,STANDBY,OPEN,28.3,false,false,0,0,0,-0.16,0,0,0,,0,,NORMAL,0
519,2025-01-01T06:10:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.087156,-0.996195,0.433884,-0.900969,0,0,0,0,0,0,88.01,0,STANDBY,OPEN,27.74,false,false,0,0,0,-0.4,0,0,0,,0,,NORMAL,0
526,2025-01-01T06:15:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.065403,-0.997859,0.433884,-0.900969,0,0,0,0,0,0,88.08,0,STANDBY,OPEN,27.56,false,false,0,0,0,-0.01,0,0,0,,0,,NORMAL,0
533,2025-01-01T06:20:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.043619,-0.999048,0.433884,-0.900969,0,0,0,0,0,0,88.11,0,STANDBY,OPEN,28.16,false,false,0,0,0,-0.05,0,0,0,,0,,NORMAL,0
540,2025-01-01T06:25:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0.021815,-0.999762,0.433884,-0.900969,0,0,0,0,0,0,87.85,0,STANDBY,OPEN,28.44,false,false,0,0,0,1.06,0,0,0,,0,,NORMAL,0
547,2025-01-01T06:30:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,0,-1,0.433884,-0.900969,0,0,0,0,0,0,88,0,STANDBY,OPEN,28.21,false,false,0,0,0,0.5,0,0,0,,0,,NORMAL,0
554,2025-01-01T06:35:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,-0.021815,-0.999762,0.433884,-0.900969,0,0,0,0,0,0,88.03,0,STANDBY,OPEN,27.38,false,false,0,0,0,-0.62,0,0,0,,0,,NORMAL,0
561,2025-01-01T06:40:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,-0.043619,-0.999048,0.433884,-0.900969,0,0,0,0,0,0,87.98,0,STANDBY,OPEN,28.27,false,false,0,0,0,0.41,0,0,0,,0,,NORMAL,0
568,2025-01-01T06:45:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,-0.065403,-0.997859,0.433884,-0.900969,0,0,0,0,0,0,88.02,0,STANDBY,OPEN,27.98,false,false,0,0,0,-0.38,0,0,0,,0,,NORMAL,0
575,2025-01-01T06:50:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,-0.087156,-0.996195,0.433884,-0.900969,0,0,0,0,0,0,88.09,0,STANDBY,OPEN,27.58,false,false,0,0,0,0.06,0,0,0,,0,,NORMAL,0
582,2025-01-01T06:55:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,-0.108867,-0.994056,0.433884,-0.900969,0,0,0,0,0,0,88.01,0,STANDBY,OPEN,28.24,false,false,0,0,0,0.06,0,0,0,,0,,NORMAL,0
589,2025-01-01T07:00:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,-0.130526,-0.991445,0.433884,-0.900969,0,0,0,0,0,0,87.93,0,STANDBY,OPEN,27.98,false,false,0,0,0,-0.08,0,0,0,,0,,NORMAL,0
596,2025-01-01T07:05:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,-0.152123,-0.988362,0.433884,-0.900969,0,0,0,0,0,0,87.97,0,STANDBY,OPEN,28.06,false,false,0,0,0,-0.24,0,0,0,,0,,NORMAL,0
603,2025-01-01T07:10:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,-0.173648,-0.984808,0.433884,-0.900969,0,0,0,0,0,0,87.96,0,STANDBY,OPEN,27.73,false,false,0,0,0,-0.01,0,0,0,,0,,NORMAL,0
610,2025-01-01T07:15:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,-0.19509,-0.980785,0.433884,-0.900969,0,0,0,0,0,0,88.05,0,STANDBY,OPEN,27.37,false,false,0,0,0,-0.19,0,0,0,,0,,NORMAL,0
617,2025-01-01T07:20:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,-0.21644,-0.976296,0.433884,-0.900969,0,0,0,0,0,0,88.08,0,STANDBY,OPEN,28.08,false,false,0,0,0,-0.08,0,0,0,,0,,NORMAL,0
624,2025-01-01T07:25:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,-0.237686,-0.971342,0.433884,-0.900969,0,0,0,0,0,0,88.08,0,STANDBY,OPEN,28.62,false,false,0,0,0,0.18,0,0,0,,0,,NORMAL,0
631,2025-01-01T07:30:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,-0.258819,-0.965926,0.433884,-0.900969,0,0,0,0,0,0,87.92,0,STANDBY,OPEN,27.64,false,false,0,0,0,-0.57,0,0,0,,0,,NORMAL,0
638,2025-01-01T07:35:00Z,E01-GELA,GENERATOR-01,GENERATOR,Generator Room,TRAIN,STANDBY,-0.279829,-0.96005,0.433884,-0.900969,0,0,0,0,0,0,87.95,0,STANDBY,OPEN,27.51,false,false,0,0,0,0.13,0,0,0,,0,,NORMAL,0
