record_id,timestamp_utc,site_id,equipment_id,equipment_type,location,data_split,operating_state,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,voltage_R,voltage_Y,voltage_B,current_R,current_Y,current_B,main_breaker_status,room_temperature_c,intruder_alarm,fire_alarm,phase_voltage_imbalance_v,phase_current_imbalance_pct,voltage_deviation_pct,temperature_change_c_per_hour,target_failure_within_15_min,target_failure_within_60_min,target_failure_within_6_hours,target_time_to_failure_min,target_fault_active,target_failure_type,target_risk_level,target_maintenance_required
73,2025-01-01T00:50:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.996195,-0.087156,0.433884,-0.900969,231.18,231.85,232.62,65.97,63.91,65.9,CLOSED,31.12,false,false,1.44,3.16,0.82,0,0,0,0,,0,,NORMAL,0
80,2025-01-01T00:55:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.994056,-0.108867,0.433884,-0.900969,230.45,230.9,232.16,63.28,63.75,63.83,CLOSED,29.62,false,false,1.72,0.85,0.51,0,0,0,0,,0,,NORMAL,0
87,2025-01-01T01:00:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.991445,-0.130526,0.433884,-0.900969,230.33,230.99,231.6,64.07,64.76,65.23,CLOSED,30.44,false,false,1.27,1.8,0.42,-0.19,0,0,0,,0,,NORMAL,0
94,2025-01-01T01:05:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.988362,-0.152123,0.433884,-0.900969,230.53,231.06,230.69,66.22,66.54,64.13,CLOSED,30.1,false,false,0.53,3.67,0.33,0.42,0,0,0,,0,,NORMAL,0
101,2025-01-01T01:10:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.984808,-0.173648,0.433884,-0.900969,230.58,229.87,231.19,65.01,66.19,66.59,CLOSED,30.82,false,false,1.32,2.39,0.24,1.15,0,0,0,,0,,NORMAL,0
108,2025-01-01T01:15:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.980785,-0.19509,0.433884,-0.900969,230.84,233.03,232.09,68.7,68.37,65.14,CLOSED,29.81,false,false,2.19,5.29,0.86,-0.14,0,0,0,,0,,NORMAL,0
115,2025-01-01T01:20:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.976296,-0.21644,0.433884,-0.900969,230.67,231.79,228.5,68.83,67.62,66.62,CLOSED,30.81,false,false,3.29,3.27,0.14,0.43,0,0,0,,0,,NORMAL,0
122,2025-01-01T01:25:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.971342,-0.237686,0.433884,-0.900969,231.89,231.34,231.07,67.69,67.44,70.5,CLOSED,30.72,false,false,0.82,4.46,0.62,0.37,0,0,0,,0,,NORMAL,0
129,2025-01-01T01:30:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.965926,-0.258819,0.433884,-0.900969,231.45,231.97,232.11,67.49,69.04,66.23,CLOSED,30.12,false,false,0.65,4.15,0.8,0.42,0,0,0,,0,,NORMAL,0
136,2025-01-01T01:35:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.96005,-0.279829,0.433884,-0.900969,229.94,230.11,230.58,69.76,68.67,69.31,CLOSED,31.04,false,false,0.64,1.57,0.09,1.03,0,0,0,,0,,NORMAL,0
143,2025-01-01T01:40:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.953717,-0.300706,0.433884,-0.900969,230.32,228.99,229.42,69.36,68.37,69.75,CLOSED,31.21,false,false,1.33,2,0.18,1.47,0,0,0,,0,,NORMAL,0
150,2025-01-01T01:45:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.94693,-0.321439,0.433884,-0.900969,230.87,229.74,229,68.31,69.62,71.12,CLOSED,30.5,false,false,1.87,4.04,0.06,0.07,0,0,0,,0,,NORMAL,0
157,2025-01-01T01:50:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.939693,-0.34202,0.433884,-0.900969,230.79,231.08,230.86,70.46,70.07,69.81,CLOSED,29.85,false,false,0.29,0.93,0.4,-1.27,0,0,0,,0,,NORMAL,0
164,2025-01-01T01:55:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.932008,-0.362438,0.433884,-0.900969,231.99,231.37,231.66,70.04,70.69,70.69,CLOSED,30.5,false,false,0.63,0.93,0.73,0.88,0,0,0,,0,,NORMAL,0
171,2025-01-01T02:00:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.92388,-0.382683,0.433884,-0.900969,230.3,228.97,229.81,71.61,71.07,73.14,CLOSED,29.79,false,false,1.33,2.88,0.13,-0.65,0,0,0,,0,,NORMAL,0
178,2025-01-01T02:05:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.915311,-0.402747,0.433884,-0.900969,231.36,233.9,232.31,71.44,71.35,71.47,CLOSED,30.05,false,false,2.54,0.16,1.1,-0.05,0,0,0,,0,,NORMAL,0
185,2025-01-01T02:10:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.906308,-0.422618,0.433884,-0.900969,230.98,230.9,231.33,71.37,72.1,72.51,CLOSED,31.55,false,false,0.43,1.58,0.46,0.73,0,0,0,,0,,NORMAL,0
192,2025-01-01T02:15:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.896873,-0.442289,0.433884,-0.900969,230.99,230.16,230.21,72.55,71.7,75.6,CLOSED,31.01,false,false,0.84,5.32,0.2,1.2,0,0,0,,0,,NORMAL,0
199,2025-01-01T02:20:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.887011,-0.461749,0.433884,-0.900969,232.13,231.4,229.29,74.61,74.34,72.19,CLOSED,29.9,false,false,2.84,3.29,0.41,-0.91,0,0,0,,0,,NORMAL,0
206,2025-01-01T02:25:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.876727,-0.480989,0.433884,-0.900969,231.34,230.8,230.83,73.81,70.95,72.9,CLOSED,30.56,false,false,0.54,3.94,0.43,-0.16,0,0,0,,0,,NORMAL,0
213,2025-01-01T02:30:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.866025,-0.5,0.433884,-0.900969,231.18,230.64,231.93,73.41,75.14,74.18,CLOSED,29.9,false,false,1.29,2.34,0.54,-0.22,0,0,0,,0,,NORMAL,0
220,2025-01-01T02:35:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.854912,-0.518773,0.433884,-0.900969,231.97,232.2,231.34,75.93,74.86,75.36,CLOSED,30.77,false,false,0.85,1.42,0.8,-0.27,0,0,0,,0,,NORMAL,0
227,2025-01-01T02:40:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.843391,-0.5373,0.433884,-0.900969,231.92,230.54,230.01,76.8,73.91,73.42,CLOSED,30.76,false,false,1.91,4.53,0.36,-0.45,0,0,0,,0,,NORMAL,0
234,2025-01-01T02:45:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.83147,-0.55557,0.433884,-0.900969,232.02,232.86,232.01,75.04,75.09,75.72,CLOSED,30.54,false,false,0.84,0.9,1,0.04,0,0,0,,0,,NORMAL,0
241,2025-01-01T02:50:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.819152,-0.573576,0.433884,-0.900969,231.9,230.62,231.13,77.68,75,73.58,CLOSED,32.04,false,false,1.27,5.45,0.53,2.19,0,0,0,,0,,NORMAL,0
248,2025-01-01T02:55:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.806445,-0.59131,0.433884,-0.900969,231.28,231.86,231.35,75.9,75.76,75.2,CLOSED,31.13,false,false,0.58,0.93,0.65,0.63,0,0,0,,0,,NORMAL,0
255,2025-01-01T03:00:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.793353,-0.608761,0.433884,-0.900969,232.81,232.15,231.65,75.53,77.07,77.49,CLOSED,31.01,false,false,1.15,2.56,0.96,1.22,0,0,0,,0,,NORMAL,0
262,2025-01-01T03:05:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.779884,-0.625923,0.433884,-0.900969,232.01,231.36,232.17,75.11,77.66,77.76,CLOSED,30.47,false,false,0.81,3.44,0.8,0.42,0,0,0,,0,,NORMAL,0
269,2025-01-01T03:10:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.766044,-0.642788,0.433884,-0.900969,229.86,230.22,230.37,77.5,76.37,77.63,CLOSED,30.73,false,false,0.52,1.63,0.07,-0.82,0,0,0,,0,,NORMAL,0
276,2025-01-01T03:15:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.75184,-0.659346,0.433884,-0.900969,229.99,230.42,231.38,80.37,77.21,76.07,CLOSED,30.89,false,false,1.39,5.52,0.26,-0.12,0,0,0,,0,,NORMAL,0
283,2025-01-01T03:20:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.737277,-0.67559,0.433884,-0.900969,228.34,231.73,231.1,78.31,78.7,77.2,CLOSED,30.99,false,false,3.4,1.92,0.17,1.09,0,0,0,,0,,NORMAL,0
290,2025-01-01T03:25:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.722364,-0.691513,0.433884,-0.900969,230.76,230.16,231.5,77.89,77.94,77.99,CLOSED,31.1,false,false,1.34,0.12,0.35,0.54,0,0,0,,0,,NORMAL,0
297,2025-01-01T03:30:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.707107,-0.707107,0.433884,-0.900969,232.57,232.34,232.87,78.09,79.14,79.87,CLOSED,30.61,false,false,0.54,2.26,1.13,0.71,0,0,0,,0,,NORMAL,0
304,2025-01-01T03:35:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.691513,-0.722364,0.433884,-0.900969,231.12,230.1,232.1,77.69,78.3,81.01,CLOSED,30.81,false,false,2,4.19,0.48,0.04,0,0,0,,0,,NORMAL,0
311,2025-01-01T03:40:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.67559,-0.737277,0.433884,-0.900969,231.61,230.2,229.34,80.89,79.87,79.22,CLOSED,31.33,false,false,2.28,2.09,0.17,0.57,0,0,0,,0,,NORMAL,0
318,2025-01-01T03:45:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.659346,-0.75184,0.433884,-0.900969,231.49,230.6,230.23,79.79,79.58,79.87,CLOSED,30.18,false,false,1.26,0.36,0.34,-0.36,0,0,0,,0,,NORMAL,0
325,2025-01-01T03:50:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.642788,-0.766044,0.433884,-0.900969,230.95,230.99,229.77,82.93,80.29,78.5,CLOSED,30.36,false,false,1.22,5.49,0.25,-1.68,0,0,0,,0,,NORMAL,0
332,2025-01-01T03:55:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.625923,-0.779884,0.433884,-0.900969,229.73,231.39,231.56,79.65,81.26,80.86,CLOSED,31.5,false,false,1.83,2,0.39,0.37,0,0,0,,0,,NORMAL,0
339,2025-01-01T04:00:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.608761,-0.793353,0.433884,-0.900969,231.75,230.6,231,79.49,80.2,82.77,CLOSED,30.8,false,false,1.15,4.06,0.48,-0.21,0,0,0,,0,,NORMAL,0
346,2025-01-01T04:05:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.59131,-0.806445,0.433884,-0.900969,231.25,232.76,233.62,82.15,79.88,82.01,CLOSED,30.85,false,false,2.37,2.79,1.11,0.38,0,0,0,,0,,NORMAL,0
353,2025-01-01T04:10:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.573576,-0.819152,0.433884,-0.900969,230.26,230.25,231.56,81.64,81.64,80.24,CLOSED,31.43,false,false,1.31,1.73,0.3,0.7,0,0,0,,0,,NORMAL,0
360,2025-01-01T04:15:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.55557,-0.83147,0.433884,-0.900969,231.37,232.39,231.49,80.13,82.2,82.6,CLOSED,31.36,false,false,1.02,3.03,0.76,0.47,0,0,0,,0,,NORMAL,0
367,2025-01-01T04:20:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.5373,-0.843391,0.433884,-0.900969,231.52,230.18,230.43,82.5,85.09,81.98,CLOSED,30.51,false,false,1.34,3.74,0.31,-0.48,0,0,0,,0,,NORMAL,0
374,2025-01-01T04:25:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.518773,-0.854912,0.433884,-0.900969,230.97,232.83,231.04,82.29,83.26,80.29,CLOSED,30.28,false,false,1.86,3.62,0.7,-0.82,0,0,0,,0,,NORMAL,0
381,2025-01-01T04:30:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.5,-0.866025,0.433884,-0.900969,230.05,230.78,229.73,83.59,84.56,82.69,CLOSED,30.59,false,false,1.06,2.23,0.08,-0.02,0,0,0,,0,,NORMAL,0
388,2025-01-01T04:35:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.480989,-0.876727,0.433884,-0.900969,233.12,231.65,232.28,84.46,85.21,86.27,CLOSED,30.24,false,false,1.47,2.12,1.02,-0.57,0,0,0,,0,,NORMAL,0
395,2025-01-01T04:40:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.461749,-0.887011,0.433884,-0.900969,232.86,231.43,231.2,82.01,82.4,83.85,CLOSED,30.69,false,false,1.66,2.22,0.8,-0.64,0,0,0,,0,,NORMAL,0
402,2025-01-01T04:45:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.442289,-0.896873,0.433884,-0.900969,230.11,231.58,232.21,83.76,82.71,83.26,CLOSED,30.74,false,false,2.1,1.26,0.56,0.56,0,0,0,,0,,NORMAL,0
409,2025-01-01T04:50:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.422618,-0.906308,0.433884,-0.900969,231.33,232.61,230.95,84.4,81.25,82.94,CLOSED,31.28,false,false,1.66,3.79,0.71,0.92,0,0,0,,0,,NORMAL,0
416,2025-01-01T04:55:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.402747,-0.915311,0.433884,-0.900969,233.18,233.15,233.97,86.08,82.33,83.54,CLOSED,31.46,false,false,0.82,4.47,1.49,-0.04,0,0,0,,0,,NORMAL,0
423,2025-01-01T05:00:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.382683,-0.92388,0.433884,-0.900969,232.12,229.87,232.21,84.76,84.06,84.13,CLOSED,31.02,false,false,2.34,0.83,0.61,0.22,0,0,0,,0,,NORMAL,0
430,2025-01-01T05:05:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.362438,-0.932008,0.433884,-0.900969,231.13,232.92,230.48,84.67,85.77,84.81,CLOSED,31.1,false,false,2.44,1.29,0.66,0.25,0,0,0,,0,,NORMAL,0
437,2025-01-01T05:10:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.34202,-0.939693,0.433884,-0.900969,230.47,231.15,232.06,86.31,83.75,83.53,CLOSED,30.71,false,false,1.6,3.28,0.53,-0.72,0,0,0,,0,,NORMAL,0
444,2025-01-01T05:15:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.321439,-0.94693,0.433884,-0.900969,233.64,234.3,232.72,85.97,85.9,84.26,CLOSED,31.16,false,false,1.58,2,1.54,-0.2,0,0,0,,0,,NORMAL,0
451,2025-01-01T05:20:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.300706,-0.953717,0.433884,-0.900969,230.85,231.11,231.89,84.91,86.46,85.84,CLOSED,31.06,false,false,1.03,1.81,0.56,0.55,0,0,0,,0,,NORMAL,0
458,2025-01-01T05:25:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.279829,-0.96005,0.433884,-0.900969,233.45,232.52,231.67,86.43,86.38,84.62,CLOSED,30.94,false,false,1.78,2.11,1.11,0.66,0,0,0,,0,,NORMAL,0
465,2025-01-01T05:30:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.258819,-0.965926,0.433884,-0.900969,230.7,230.1,232.44,84.22,86.68,84.98,CLOSED,30.5,false,false,2.34,2.88,0.47,-0.09,0,0,0,,0,,NORMAL,0
472,2025-01-01T05:35:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.237686,-0.971342,0.433884,-0.900969,232.1,232.3,232.14,82.73,84.42,82.51,CLOSED,31.42,false,false,0.2,2.3,0.95,1.18,0,0,0,,0,,NORMAL,0
479,2025-01-01T05:40:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.21644,-0.976296,0.433884,-0.900969,230.55,232.39,231.5,87.1,87.14,84.97,CLOSED,31.03,false,false,1.84,2.51,0.64,0.34,0,0,0,,0,,NORMAL,0
486,2025-01-01T05:45:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.19509,-0.980785,0.433884,-0.900969,231.76,232.32,231.65,87.52,85.78,85.32,CLOSED,30.32,false,false,0.67,2.55,0.83,-0.42,0,0,0,,0,,NORMAL,0
493,2025-01-01T05:50:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.173648,-0.984808,0.433884,-0.900969,230.1,231.72,231.82,86.36,85.49,84.95,CLOSED,31.95,false,false,1.73,1.64,0.53,0.67,0,0,0,,0,,NORMAL,0
500,2025-01-01T05:55:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.152123,-0.988362,0.433884,-0.900969,231.84,231.7,232,85.07,86.06,85.59,CLOSED,31.1,false,false,0.3,1.15,0.8,-0.36,0,0,0,,0,,NORMAL,0
507,2025-01-01T06:00:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.130526,-0.991445,0.433884,-0.900969,230.75,231.33,232.45,83.96,85.26,85.97,CLOSED,30.05,false,false,1.7,2.37,0.66,-0.97,0,0,0,,0,,NORMAL,0
514,2025-01-01T06:05:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.108867,-0.994056,0.433884,-0.900969,233.03,229.73,230.16,86.96,86.24,85.42,CLOSED,30.3,false,false,3.3,1.79,0.42,-0.8,0,0,0,,0,,NORMAL,0
521,2025-01-01T06:10:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.087156,-0.996195,0.433884,-0.900969,231.18,232.6,232.54,86.16,86.41,84.65,CLOSED,30.49,false,false,1.42,2.05,0.92,-0.22,0,0,0,,0,,NORMAL,0
528,2025-01-01T06:15:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.065403,-0.997859,0.433884,-0.900969,231.35,232.65,231.48,87.66,84.89,84.98,CLOSED,31.24,false,false,1.3,3.22,0.8,0.08,0,0,0,,0,,NORMAL,0
535,2025-01-01T06:20:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.043619,-0.999048,0.433884,-0.900969,230.37,232.6,231.56,86.52,87.55,84.54,CLOSED,30.73,false,false,2.23,3.49,0.66,-0.33,0,0,0,,0,,NORMAL,0
542,2025-01-01T06:25:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0.021815,-0.999762,0.433884,-0.900969,232.88,231.06,232.22,87.61,86.07,87.02,CLOSED,30.93,false,false,1.82,1.77,0.89,-0.01,0,0,0,,0,,NORMAL,0
549,2025-01-01T06:30:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,0,-1,0.433884,-0.900969,231.42,231.64,232.28,84.27,88.32,87.42,CLOSED,30.86,false,false,0.86,4.67,0.77,0.36,0,0,0,,0,,NORMAL,0
556,2025-01-01T06:35:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,-0.021815,-0.999762,0.433884,-0.900969,232.21,233.29,231.84,85.94,87.06,87.97,CLOSED,30.67,false,false,1.45,2.33,1.06,-0.75,0,0,0,,0,,NORMAL,0
563,2025-01-01T06:40:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,-0.043619,-0.999048,0.433884,-0.900969,231.67,231.19,230.69,85.56,88.49,84.92,CLOSED,30.58,false,false,0.98,4.13,0.51,-0.45,0,0,0,,0,,NORMAL,0
570,2025-01-01T06:45:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,-0.065403,-0.997859,0.433884,-0.900969,230.39,230.91,229.85,86.18,87,85.26,CLOSED,31.43,false,false,1.05,2.02,0.17,1.11,0,0,0,,0,,NORMAL,0
577,2025-01-01T06:50:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,-0.087156,-0.996195,0.433884,-0.900969,229.73,230.62,230.2,84.74,83.48,85.37,CLOSED,30.74,false,false,0.89,2.23,0.08,-1.21,0,0,0,,0,,NORMAL,0
584,2025-01-01T06:55:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,-0.108867,-0.994056,0.433884,-0.900969,232.52,231.77,232.5,85.45,87.29,85.44,CLOSED,31.59,false,false,0.75,2.15,0.98,0.49,0,0,0,,0,,NORMAL,0
591,2025-01-01T07:00:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,-0.130526,-0.991445,0.433884,-0.900969,232.47,231.29,232.83,84.13,84.54,84.9,CLOSED,30.55,false,false,1.54,0.91,0.95,0.5,0,0,0,,0,,NORMAL,0
598,2025-01-01T07:05:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,-0.152123,-0.988362,0.433884,-0.900969,232.14,231.36,231.59,86.88,84.8,85.68,CLOSED,30.82,false,false,0.78,2.43,0.74,0.52,0,0,0,,0,,NORMAL,0
605,2025-01-01T07:10:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,-0.173648,-0.984808,0.433884,-0.900969,229.78,230.18,228.54,87.19,84.3,85.46,CLOSED,31.03,false,false,1.64,3.37,0.22,0.54,0,0,0,,0,,NORMAL,0
612,2025-01-01T07:15:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,-0.19509,-0.980785,0.433884,-0.900969,232.18,230.47,231.54,84.88,86.22,84.86,CLOSED,30.94,false,false,1.71,1.59,0.61,-0.3,0,0,0,,0,,NORMAL,0
619,2025-01-01T07:20:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,-0.21644,-0.976296,0.433884,-0.900969,232.1,230.54,233.06,84.71,85.13,85.56,CLOSED,30.84,false,false,2.52,1,0.83,0.11,0,0,0,,0,,NORMAL,0
626,2025-01-01T07:25:00Z,E01-GELA,MDP-01,MDP,Main Power Room,TRAIN,ENERGIZED,-0.237686,-0.971342,0.433884,-0.900969,232.43,232.94,231.87,84.36,84.69,85.57,CLOSED,30.24,false,false,1.07,1.42,1.05,-0.69,0,0,0,,0,,NORMAL,0
